Time	Current	Time	Current
s	A	s	A
	Short Pulses		Single Pulse
0	1.220703125E-7	0	-3.0517578125E-6
2.059999994799E-4	-5.4931640625E-7	1.79999999545544E-4	0
2.99999999242573E-4	-5.4931640625E-7	2.79999999293068E-4	0
3.85999999025444E-4	5.4931640625E-7	3.77999999045642E-4	-3.0517578125E-6
4.71999998808315E-4	-5.18798828125E-7	4.76999998795691E-4	-3.0517578125E-6
5.5699999859371E-4	9.765625E-7	5.74999998548265E-4	0
6.42999998376581E-4	1.03759765625E-6	6.73999998298314E-4	0
7.28999998159452E-4	4.57763671875E-7	7.71999998050887E-4	0
8.14999997942323E-4	-1.068115234375E-6	8.70999997800936E-4	-3.0517578125E-6
8.99999997727718E-4	-1.52587890625E-7	9.6899999755351E-4	0
9.85999997510589E-4	1.8310546875E-7	0.00106799999730356	0
0.00108099999727074	1.251220703125E-6	0.00116499999705866	0
0.00118199999701574	1.5869140625E-6	0.00126399999680871	3.0517578125E-6
0.00128399999675821	-3.753662109375E-6	0.00136199999656128	-3.0517578125E-6
0.00138499999650321	7.9345703125E-7	0.00145999999631385	0
0.00148599999624821	6.7138671875E-7	0.0015589999960639	0
0.00157999999601088	-1.64794921875E-6	0.00165699999581648	0
0.00168099999575588	1.739501953125E-6	0.00175599999556653	-6.103515625E-6
0.00178199999550088	-1.52587890625E-7	0.0018539999953191	0
0.00188299999524588	-4.69970703125E-6	0.00195199999507167	0
0.00198499999498836	0	0.00204999999482425	-3.0517578125E-6
0.00208599999473336	-5.4931640625E-7	0.0021489999945743	0
0.00218699999447836	3.35693359375E-7	0.00224799999432435	0
0.00227999999424355	-1.89208984375E-6	0.00234599999407692	0
0.00238099999398855	-1.3427734375E-6	0.00244399999382949	3.0517578125E-6
0.00248299999373103	3.47900390625E-6	0.00254199999358207	-3.0517578125E-6
0.00258399999347603	-7.9345703125E-7	0.00264099999333212	3.0517578125E-6
0.00268499999322103	-3.35693359375E-6	0.00273899999308469	0
0.00278599999296603	6.103515625E-7	0.00283799999283474	-6.103515625E-6
0.00288699999271103	-2.62451171875E-6	0.00293599999258731	0
0.0029809999924737	-1.15966796875E-6	0.00303499999233736	0
0.0030819999922187	3.631591796875E-6	0.00313299999208994	0
0.00318399999196117	2.44140625E-7	0.00323199999183998	-3.0517578125E-6
0.00328499999170617	2.105712890625E-6	0.00332999999159256	6.103515625E-6
